date,portfolio_value,cash,positions,total_value
2021-01-05 09:30:00-05:00,112476.74994277954,28487.350414276116,11,112476.74994277954
2021-01-06 09:30:00-05:00,113144.18244361877,28487.350414276116,11,113144.18244361877
2021-01-07 09:30:00-05:00,115132.91130828857,35714.350414276116,10,115132.91130828857
2021-01-08 09:30:00-05:00,116422.96964645386,35714.350414276116,10,116422.96964645386
2021-01-11 09:30:00-05:00,115143.77956390381,35714.350414276116,10,115143.77956390381
2021-01-12 09:30:00-05:00,115654.74144172668,35714.350414276116,10,115654.74144172668
2021-01-13 09:30:00-05:00,115451.5309715271,35714.350414276116,10,115451.5309715271
2021-01-14 09:30:00-05:00,116135.51952552795,35714.350414276116,10,116135.51952552795
2021-01-15 09:30:00-05:00,115989.99118041992,35714.350414276116,10,115989.99118041992
2021-01-19 09:30:00-05:00,116457.77947235107,35714.350414276116,10,116457.77947235107
2021-01-20 09:30:00-05:00,116418.06106758118,42252.23023605346,9,116418.06106758118
2021-01-21 09:30:00-05:00,116783.01370429993,23063.936817169182,12,116783.01370429993
2021-01-22 09:30:00-05:00,115382.42937850952,23063.936817169182,12,115382.42937850952
2021-01-25 09:30:00-05:00,115097.86487197876,30728.936817169182,11,115097.86487197876
2021-01-26 09:30:00-05:00,115274.21177864075,30728.936817169182,11,115274.21177864075
2021-01-27 09:30:00-05:00,113103.76704788208,30728.936817169182,11,113103.76704788208
2021-01-28 09:30:00-05:00,112621.96767807007,70039.52744674683,6,112621.96767807007
2021-01-29 09:30:00-05:00,111803.54428100586,52001.49206733703,7,111803.54428100586
2021-02-01 09:30:00-05:00,110608.05343818665,28971.001764297478,10,110608.05343818665
2021-02-02 09:30:00-05:00,112031.41505241394,28971.001764297478,10,112031.41505241394
2021-02-03 09:30:00-05:00,112299.70660591125,28971.001764297478,10,112299.70660591125
2021-02-04 09:30:00-05:00,112351.11295890808,28971.001764297478,10,112351.11295890808
2021-02-05 09:30:00-05:00,113333.45026779175,28971.001764297478,10,113333.45026779175
2021-02-08 09:30:00-05:00,113980.25691223145,28971.001764297478,10,113980.25691223145
2021-02-09 09:30:00-05:00,114130.2436542511,28971.001764297478,10,114130.2436542511
2021-02-10 09:30:00-05:00,113986.45001411438,39069.50205421447,9,113986.45001411438
2021-02-11 09:30:00-05:00,113880.15020561218,27841.04259681701,11,113880.15020561218
2021-02-12 09:30:00-05:00,113713.55067253113,27841.04259681701,11,113713.55067253113
2021-02-16 09:30:00-05:00,114731.68028831482,27841.04259681701,11,114731.68028831482
2021-02-17 09:30:00-05:00,114139.47629356384,27841.04259681701,11,114139.47629356384
2021-02-18 09:30:00-05:00,113566.285654068,35716.04259681701,10,113566.285654068
2021-02-19 09:30:00-05:00,114504.98296546936,35716.04259681701,10,114504.98296546936
2021-02-22 09:30:00-05:00,113768.38617324829,35716.04259681701,10,113768.38617324829
2021-02-23 09:30:00-05:00,112922.89549636841,35716.04259681701,10,112922.89549636841
2021-02-24 09:30:00-05:00,112521.06241226196,45285.79863739013,9,112521.06241226196
2021-02-25 09:30:00-05:00,114285.93270683287,25036.19889640807,12,114285.93270683287
2021-02-26 09:30:00-05:00,112069.33329200743,25036.19889640807,12,112069.33329200743
2021-03-01 09:30:00-05:00,112066.30471801756,30015.239057540883,11,112066.30471801756
2021-03-02 09:30:00-05:00,112603.60350990294,30015.239057540883,11,112603.60350990294
2021-03-03 09:30:00-05:00,112658.9923019409,30015.239057540883,11,112658.9923019409
2021-03-04 09:30:00-05:00,112510.3639602661,30015.239057540883,11,112510.3639602661
2021-03-05 09:30:00-05:00,113144.35292053223,35593.66917228698,10,113144.35292053223
2021-03-08 09:30:00-05:00,114804.20455169678,35593.66917228698,10,114804.20455169678
2021-03-09 09:30:00-05:00,114916.40419387817,35593.66917228698,10,114916.40419387817
2021-03-10 09:30:00-05:00,114506.66853904724,35593.66917228698,10,114506.66853904724
2021-03-11 09:30:00-05:00,114863.05510139465,35593.66917228698,10,114863.05510139465
2021-03-12 09:30:00-05:00,115511.24981689453,35593.66917228698,10,115511.24981689453
2021-03-15 10:30:00-04:00,115074.29127693176,35593.66917228698,10,115074.29127693176
2021-03-16 10:30:00-04:00,115081.4558506012,35593.66917228698,10,115081.4558506012
2021-03-17 10:30:00-04:00,114484.13535690308,35593.66917228698,10,114484.13535690308
2021-03-18 10:30:00-04:00,114982.95263290405,35593.66917228698,10,114982.95263290405
2021-03-19 10:30:00-04:00,114163.99520111084,35593.66917228698,10,114163.99520111084
2021-03-22 10:30:00-04:00,113775.32320022583,42175.83935546874,9,113775.32320022583
2021-03-23 10:30:00-04:00,113927.37839508057,23337.299194335934,12,113927.37839508057
2021-03-24 10:30:00-04:00,113062.40827178955,23337.299194335934,12,113062.40827178955
2021-03-25 10:30:00-04:00,112978.13347625732,30097.829254150387,11,112978.13347625732
2021-03-26 10:30:00-04:00,114058.47554016113,35872.82925415039,10,114058.47554016113
2021-03-29 10:30:00-04:00,114686.52376937866,35872.82925415039,10,114686.52376937866
2021-03-30 10:30:00-04:00,115255.83034515381,35872.82925415039,10,115255.83034515381
2021-03-31 10:30:00-04:00,115056.76139831543,35872.82925415039,10,115056.76139831543
2021-04-01 10:30:00-04:00,115070.62433624268,35872.82925415039,10,115070.62433624268
2021-04-05 10:30:00-04:00,116065.24269104004,35872.82925415039,10,116065.24269104004
2021-04-06 10:30:00-04:00,116403.64781570435,35872.82925415039,10,116403.64781570435
2021-04-07 10:30:00-04:00,116323.42083740234,35872.82925415039,10,116323.42083740234
2021-04-08 10:30:00-04:00,116657.11097717285,35872.82925415039,10,116657.11097717285
2021-04-09 10:30:00-04:00,116880.4969406128,35872.82925415039,10,116880.4969406128
2021-04-12 10:30:00-04:00,117349.09284591675,35872.82925415039,10,117349.09284591675
