symbol,source,price,avg_volume,ddv,spread_pct,turnover_pct,float_shares,market_cap,liquidity_score,liquidity_tier,max_position_rec,position_200k_pct_adv,position_400k_pct_adv,position_800k_pct_adv,days_to_liquidate_400k,ddv_score,spread_score,turnover_score,float_score,market_cap_score,exchange,currency
DXCM,IVV,66.37,5853646.666666667,388506529.2666667,12.379488612547147,1.5008724217195397,387418764,26027345920,74.00348968687815,TIER 2 - GOOD,$600K-$800K,0.05147918630286961,0.10295837260573922,0.20591674521147843,0.001029583726057392,100.0,0.0,70.01744843439079,100.0,100.0,NMS,USD
NXT,IJH,87.11,2212975.0,192772252.25,42.05401433033254,1.4913559011119455,147612201,13221698560,73.96542360444778,TIER 2 - GOOD,$600K-$800K,0.10374937142956994,0.20749874285913988,0.41499748571827977,0.002074987428591399,100.0,0.0,69.8271180222389,100.0,100.0,NMS,USD
GMED,IJH,87.31,1656110.0,144594964.1,2.696629213483152,1.4865127362297588,110480216,11791848448,73.94605094491904,TIER 2 - GOOD,$600K-$800K,0.13831740354503813,0.27663480709007626,0.5532696141801525,0.0027663480709007628,100.0,0.0,69.73025472459517,100.0,100.0,NYQ,USD
OMC,IVV,80.75,4628991.666666667,373791077.0833334,1.0344827586206937,1.4713724588619752,191567073,25625141248,73.8854898354479,TIER 2 - GOOD,$600K-$800K,0.053505825115084754,0.10701165023016951,0.21402330046033902,0.0010701165023016951,100.0,0.0,69.42744917723951,100.0,100.0,NYQ,USD
GOOGL,IVV,313.0,35779431.666666664,11198962111.666666,0.5041508419319061,0.6149781998395782,10798516960,3791094022144,73.87831717939757,TIER 2 - GOOD,$600K-$800K,0.001785879780695457,0.003571759561390914,0.007143519122781828,3.571759561390914e-05,100.0,19.833966322723757,44.59912799358313,100.0,100.0,NMS,USD
EL,IVV,104.72,3610565.0,378098366.8,2.0715630885122436,1.4685875410635798,244857576,37736927232,73.87435016425432,TIER 2 - GOOD,$600K-$800K,0.052896287728688485,0.10579257545737697,0.21158515091475394,0.0010579257545737697,100.0,0.0,69.3717508212716,100.0,100.0,NYQ,USD
ARR,IJR,17.69,2894610.0,51205650.900000006,0.5627462014631281,2.586823620704798,111555827,1991283712,73.85181081910457,TIER 2 - GOOD,$600K-$800K,0.39058189181225694,0.7811637836245139,1.5623275672490278,0.007811637836245139,79.66902120833333,17.490151941474874,91.73647241409596,100.0,82.47820928,NYQ,USD
CF,IVV,77.34,2272208.3333333335,175732592.50000003,1.105398457583547,1.456780586294099,154444533,12526988288,73.82712234517639,TIER 2 - GOOD,$600K-$800K,0.11380928099606791,0.22761856199213581,0.45523712398427163,0.002276185619921358,100.0,0.0,69.13561172588197,100.0,100.0,NYQ,USD
LKQ,IJR,30.2,4006296.6666666665,120990159.33333333,9.840764331210192,1.5651674725380003,254179363,7770254336,73.814720757352,TIER 2 - GOOD,$600K-$800K,0.16530269990718088,0.33060539981436177,0.6612107996287235,0.003306053998143618,100.0,0.0,71.30334945076001,100.0,95.540508672,NMS,USD
ZBRA,IVV,242.82,684575.0,166228501.5,0.6641008225794246,1.351306217605514,50238242,12346220544,73.77851116462782,TIER 2 - GOOD,$600K-$800K,0.120316310497451,0.240632620994902,0.481265241989804,0.0024063262099490203,100.0,13.435967096823017,67.02612435211027,80.0952968,100.0,NMS,USD
CYTK,IJH,63.54,1890053.3333333333,120093988.8,41.912817176317496,1.5458671172444989,121674389,7768713728,73.737211214578,TIER 2 - GOOD,$600K-$800K,0.16653622883079724,0.3330724576615945,0.666144915323189,0.003330724576615945,100.0,0.0,70.91734234488997,100.0,95.537427456,NMS,USD
